game_id,game_number,game_code,date,start_time,venue,home_team,away_team,home_ioc,away_ioc,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,status,round,group,tournament,scraped_at,home_innings,away_innings,scorers,technical_commissioners
173443,17,X03,2025-07-22,2025-07-22 11:15:00,Campo de Béisbol de Irabia,Great Britain,Spain,GBR,ESP,1,3,6,4,0,2,F,0,0,,2025-07-25T20:41:54.614092,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173445,18,X04,2025-07-22,2025-07-22 12:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Netherlands,Israel,NED,ISR,15,0,7,2,0,2,F,0,0,,2025-07-25T20:41:54.614102,"10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173446,19,Y06,2025-07-22,2025-07-22 13:30:00,"Campus Arrosadia UPNA, Navarra",Austria,Italy,AUT,ITA,0,10,1,10,5,0,F,0,0,,2025-07-25T20:41:54.614114,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173447,20,F01,2025-07-22,2025-07-22 13:30:00,Campo de Béisbol de Irabia,Türkiye,Hungary,TUR,HUN,3,8,5,6,6,2,F,0,0,,2025-07-25T20:41:54.614123,"0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173448,21,F02,2025-07-22,2025-07-22 14:30:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Belgium,Croatia,BEL,CRO,2,10,4,11,4,1,F,0,0,,2025-07-25T20:41:54.614133,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173449,22,Y07,2025-07-22,2025-07-22 15:45:00,"Campus Arrosadia UPNA, Navarra",Germany,Ireland,GER,IRL,3,7,4,11,0,3,F,0,0,,2025-07-25T20:41:54.614143,"1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173450,23,F03,2025-07-22,2025-07-22 17:15:00,Campo de Béisbol de Irabia,Poland,Türkiye,POL,TUR,14,8,11,9,2,4,F,0,0,,2025-07-25T20:41:54.614153,"2,5,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173451,24,X05,2025-07-22,2025-07-22 18:00:00,"Campus Arrosadia UPNA, Navarra",Czechia,Great Britain,CZE,GBR,10,1,12,3,0,4,F,0,0,,2025-07-25T20:41:54.614162,"1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173453,25,X06,2025-07-22,2025-07-22 19:15:00,Campo de Béisbol de Irabia,Spain,Netherlands,ESP,NED,2,3,5,4,2,1,F,0,0,,2025-07-25T20:41:54.614172,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173452,26,F04,2025-07-22,2025-07-22 20:15:00,"Campus Arrosadia UPNA, Navarra",Hungary,Sweden,HUN,SWE,6,11,13,11,2,1,F,0,0,,2025-07-25T20:41:54.614182,"1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173454,27,Y08,2025-07-23,2025-07-23 09:00:00,"Campus Arrosadia UPNA, Navarra",France,Austria,FRA,AUT,7,12,10,10,2,0,F,0,0,,2025-07-25T20:41:54.614191,"2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173455,28,Y09,2025-07-23,2025-07-23 09:00:00,Campo de Béisbol de Irabia,Ukraine,Germany,UKR,GER,9,2,10,7,2,2,F,0,0,,2025-07-25T20:41:54.614201,"1,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173456,29,X07,2025-07-23,2025-07-23 11:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Israel,Great Britain,ISR,GBR,2,13,5,11,4,0,F,0,0,,2025-07-25T20:41:54.614211,"2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173458,30,F05,2025-07-23,2025-07-23 11:30:00,"Campus Arrosadia UPNA, Navarra",Poland,Hungary,POL,HUN,3,7,6,10,2,4,F/7,0,0,,2025-07-25T20:41:54.614220,"0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173457,31,X08,2025-07-23,2025-07-23 11:30:00,Campo de Béisbol de Irabia,Czechia,Spain,CZE,ESP,11,1,9,2,0,1,F,0,0,,2025-07-25T20:41:54.614230,"0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173459,32,F06,2025-07-23,2025-07-23 13:15:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Croatia,Sweden,CRO,SWE,5,8,4,8,1,2,F,0,0,,2025-07-25T20:41:54.614240,"0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173460,33,Y11,2025-07-23,2025-07-23 14:00:00,"Campus Arrosadia UPNA, Navarra",Ireland,Austria,IRL,AUT,7,0,7,2,0,2,F,0,0,,2025-07-25T20:41:54.614249,"0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173461,34,Y10,2025-07-23,2025-07-23 14:00:00,Campo de Béisbol de Irabia,Italy,Germany,ITA,GER,18,4,17,6,1,2,F,0,0,,2025-07-25T20:41:54.614261,"1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173462,35,X09,2025-07-23,2025-07-23 16:30:00,"Campus Arrosadia UPNA, Navarra",Netherlands,Czechia,NED,CZE,0,6,3,9,2,1,F,0,0,,2025-07-25T20:41:54.614272,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
